Sale_ID,Order_Date,Customer_ID,Product_ID,Store_ID,Quantity,Unit_Price,Discount,Cost_Per_Unit
S000001,2026-04-09,C0001,P048,ST010,7,1716.97,0.02,1279.89
S000002,2025-01-25,C0256,P006,ST011,1,14090.16,0.02,9423.57
S000003,2025-02-26,C0997,P023,ST011,4,14070.02,0.02,10277.49
S000004,2026-01-28,C0567,P005,ST018,1,13689.95,0.0,8535.69
S000005,2026-05-11,C0238,P019,ST012,6,789.69,0.1,612.11
S000006,2026-01-18,C0417,P015,ST008,6,9823.31,0.0,7707.94
S000007,2026-12-24,C0411,P049,ST011,6,2669.26,0.05,1636.57
S000008,2025-12-02,C0996,P023,ST008,3,15873.86,0.05,10277.49
S000009,2025-09-10,C0532,P089,ST016,8,15109.84,0.05,9447.14
S000010,2026-04-23,C0117,P080,ST020,6,9960.64,0.1,7154.82
S000011,2026-12-09,C0649,P010,ST021,8,1890.63,0.02,1595.73
S000012,2025-04-08,C0092,P038,ST006,6,8096.51,0.05,5677.06
S000013,2026-10-21,C0968,P047,ST007,8,7167.44,0.0,4501.3
S000014,2025-03-27,C0095,P062,ST023,2,4081.23,0.0,2627.77
S000015,2025-03-09,C0057,P068,ST016,8,10836.36,0.0,8703.69
S000016,2026-07-03,C0419,P068,ST014,2,13052.36,0.02,8703.69
S000017,2025-02-18,C0259,P011,ST012,5,10071.01,0.05,8103.73
S000018,2026-02-19,C0085,P018,ST009,8,5702.55,0.0,3821.41
S000019,2025-08-13,C0748,P031,ST001,4,10143.76,0.1,8055.68
S000020,2025-04-22,C0575,P080,ST018,2,10219.44,0.0,7154.82
S000021,2026-06-28,C0714,P003,ST025,4,14591.14,0.0,9496.36
S000022,2026-06-19,C0204,P044,ST014,4,7487.93,0.02,4727.0
S000023,2026-04-03,C0630,P071,ST017,8,9874.06,0.02,7113.15
S000024,2026-08-28,C0679,P038,ST014,3,8954.11,0.0,5677.06
S000025,2026-12-14,C0613,P073,ST005,3,1521.62,0.0,1242.22
S000026,2025-09-06,C0547,P002,ST012,7,398.87,0.0,336.51
S000027,2026-02-14,C0489,P087,ST012,8,18761.53,0.1,11513.07
S000028,2025-07-23,C0318,P046,ST011,7,11429.63,0.02,7655.82
S000029,2025-08-22,C0484,P074,ST011,5,7849.82,0.15,5135.74
S000030,2026-08-02,C0471,P012,ST012,7,9148.07,0.0,5785.38
S000031,2026-10-03,C0521,P037,ST002,8,11311.43,0.05,8737.72
S000032,2026-09-18,C0011,P088,ST025,3,8625.66,0.0,5917.07
S000033,2025-01-30,C0943,P015,ST023,8,9698.09,0.15,7707.94
S000034,2026-10-27,C0625,P018,ST023,1,4519.35,0.0,3821.41
S000035,2026-07-11,C0460,P073,ST015,4,1704.84,0.05,1242.22
S000036,2025-10-22,C0533,P027,ST025,6,5127.43,0.05,3699.73
S000037,2025-05-17,C0312,P032,ST025,6,6094.44,0.05,5025.05
S000038,2025-01-09,C0322,P070,ST005,8,11154.86,0.02,7620.88
S000039,2026-10-05,C0228,P024,ST020,7,3453.2,0.05,2998.79
S000040,2026-08-22,C0949,P074,ST012,7,8098.12,0.02,5135.74
S000041,2026-03-07,C0911,P050,ST021,1,13625.45,0.0,11552.3
S000042,2026-03-28,C0552,P029,ST023,1,10333.51,0.05,6795.13
S000043,2025-06-18,C0944,P010,ST024,6,1889.04,0.02,1595.73
S000044,2026-11-17,C0823,P062,ST001,1,3045.89,0.0,2627.77
S000045,2026-08-04,C0582,P074,ST013,8,6226.08,0.05,5135.74
S000046,2025-04-04,C0223,P049,ST003,6,2659.13,0.05,1636.57
S000047,2025-11-28,C0752,P047,ST022,4,5588.15,0.0,4501.3
S000048,2026-08-31,C0659,P053,ST018,1,5385.67,0.05,3373.97
S000049,2026-09-19,C0517,P029,ST024,6,10334.34,0.0,6795.13
S000050,2025-12-21,C0513,P084,ST019,6,7091.6,0.05,4325.72
S000051,2026-03-13,C0379,P043,ST003,7,6718.84,0.02,5492.34
S000052,2026-03-06,C0279,P080,ST001,1,10059.83,0.0,7154.82
S000053,2026-11-18,C0214,P016,ST015,4,8427.13,0.1,6754.56
S000054,2026-06-13,C0029,P087,ST006,5,15082.72,0.0,11513.07
S000055,2025-06-08,C0088,P076,ST012,5,7880.54,0.0,6054.39
S000056,2026-10-31,C0717,P014,ST021,5,11553.12,0.05,9238.74
S000057,2025-07-12,C0244,P059,ST013,1,1893.52,0.0,1382.59
S000058,2025-09-20,C0805,P031,ST012,2,12398.91,0.05,8055.68
S000059,2026-07-23,C0498,P002,ST019,5,465.79,0.05,336.51
S000060,2025-07-19,C0903,P043,ST014,4,8719.15,0.0,5492.34
S000061,2025-12-26,C0669,P005,ST010,6,10459.01,0.0,8535.69
S000062,2026-06-27,C0788,P086,ST024,5,599.26,0.0,517.95
S000063,2026-05-10,C0318,P028,ST013,6,11694.47,0.0,8027.52
S000064,2025-05-12,C0598,P023,ST009,4,12778.75,0.0,10277.49
S000065,2025-04-15,C0336,P003,ST006,8,15203.46,0.05,9496.36
S000066,2025-08-13,C0370,P068,ST003,5,12478.31,0.05,8703.69
S000067,2025-10-08,C0344,P027,ST006,3,4330.29,0.0,3699.73
S000068,2025-08-09,C0854,P061,ST004,8,6753.45,0.02,5605.37
S000069,2026-05-15,C0484,P045,ST010,3,4400.1,0.05,3792.77
S000070,2026-02-09,C0955,P055,ST015,6,13914.6,0.02,9400.32
S000071,2025-06-21,C0683,P014,ST009,6,10832.15,0.05,9238.74
S000072,2026-03-03,C0427,P059,ST019,4,1816.15,0.1,1382.59
S000073,2026-05-02,C0840,P014,ST005,5,13666.53,0.15,9238.74
S000074,2025-05-01,C0246,P009,ST023,8,2440.16,0.05,1892.61
S000075,2025-02-25,C0929,P045,ST002,1,5378.75,0.0,3792.77
S000076,2026-04-23,C0836,P039,ST017,8,2959.16,0.05,2144.94
S000077,2026-09-27,C0702,P022,ST020,4,6515.28,0.05,5050.21
S000078,2026-09-24,C0114,P069,ST005,3,7547.47,0.02,5327.09
S000079,2026-09-26,C0221,P090,ST022,6,1571.22,0.02,1222.08
S000080,2025-03-20,C0483,P003,ST025,4,14986.18,0.05,9496.36
S000081,2025-11-22,C0666,P041,ST001,7,2815.15,0.0,2039.67
S000082,2026-03-28,C0411,P072,ST012,4,9808.69,0.05,7885.7
S000083,2025-04-01,C0746,P054,ST009,7,18489.16,0.0,11637.82
S000084,2026-01-12,C0145,P021,ST015,3,3784.6,0.0,2771.37
S000085,2026-03-27,C0981,P023,ST020,6,13945.53,0.05,10277.49
S000086,2025-03-03,C0859,P037,ST024,6,12485.71,0.05,8737.72
S000087,2026-12-07,C0852,P022,ST018,8,7753.61,0.0,5050.21
S000088,2026-02-07,C0633,P078,ST016,4,2730.5,0.0,1948.16
S000089,2025-01-15,C0358,P078,ST017,6,2597.0,0.0,1948.16
S000090,2025-04-14,C0035,P038,ST005,8,7929.35,0.02,5677.06
S000091,2026-01-18,C0707,P089,ST007,2,14292.15,0.0,9447.14
S000092,2025-07-04,C0085,P043,ST006,6,6320.67,0.05,5492.34
S000093,2025-09-09,C0172,P068,ST007,7,13160.45,0.0,8703.69
S000094,2026-07-16,C0744,P059,ST010,8,1757.7,0.0,1382.59
S000095,2026-10-02,C0096,P015,ST021,5,11773.98,0.0,7707.94
S000096,2026-04-28,C0532,P083,ST016,5,9212.89,0.1,7077.47
S000097,2026-08-27,C0690,P033,ST005,4,12222.51,0.05,9814.74
S000098,2026-09-12,C0079,P076,ST023,4,7190.59,0.05,6054.39
S000099,2026-04-29,C0948,P077,ST020,6,6131.08,0.05,4125.87
S000100,2026-12-18,C0514,P039,ST002,8,3157.09,0.1,2144.94
S000101,2026-09-14,C0875,P045,ST006,8,4746.12,0.0,3792.77
S000102,2026-06-17,C0976,P079,ST004,4,1817.91,0.0,1464.98
S000103,2025-01-10,C0442,P057,ST010,3,9087.42,0.05,5530.0
S000104,2026-11-05,C0744,P068,ST010,3,13739.46,0.0,8703.69
S000105,2026-06-09,C0100,P088,ST003,2,7702.98,0.05,5917.07
S000106,2026-09-23,C0476,P073,ST019,3,1606.67,0.0,1242.22
S000107,2025-12-14,C0532,P041,ST014,6,2565.25,0.1,2039.67
S000108,2026-01-09,C0639,P083,ST019,8,8525.77,0.05,7077.47
S000109,2025-07-22,C0881,P030,ST022,4,12133.58,0.0,9460.8
S000110,2025-05-23,C0447,P057,ST004,3,7109.57,0.05,5530.0
S000111,2026-12-02,C0830,P031,ST002,1,9972.33,0.0,8055.68
S000112,2026-05-19,C0213,P012,ST014,1,8023.65,0.0,5785.38
S000113,2025-09-13,C0565,P090,ST007,6,1536.81,0.0,1222.08
S000114,2026-11-02,C0473,P019,ST022,7,949.58,0.0,612.11
S000115,2026-05-13,C0657,P038,ST004,7,9032.44,0.0,5677.06
S000116,2026-09-28,C0580,P041,ST025,2,3045.36,0.1,2039.67
S000117,2025-10-25,C0164,P008,ST012,4,9388.68,0.05,6932.71
S000118,2026-02-27,C0362,P036,ST024,7,1683.28,0.0,1308.06
S000119,2025-11-24,C0968,P004,ST008,7,11932.23,0.0,8062.0
S000120,2025-07-25,C0114,P037,ST001,2,10387.19,0.1,8737.72
S000121,2026-06-08,C0944,P005,ST024,3,12962.09,0.15,8535.69
S000122,2026-07-09,C0375,P003,ST009,3,13072.13,0.1,9496.36
S000123,2026-07-19,C0016,P043,ST019,6,8312.7,0.1,5492.34
S000124,2025-06-28,C0411,P035,ST011,6,697.83,0.02,516.87
S000125,2025-06-23,C0885,P070,ST014,4,10457.24,0.0,7620.88
S000126,2026-12-15,C0387,P024,ST022,2,3893.84,0.0,2998.79
S000127,2026-01-01,C0436,P016,ST011,1,10447.88,0.0,6754.56
S000128,2025-09-10,C0600,P040,ST007,8,8797.57,0.0,6137.28
S000129,2026-09-13,C0440,P054,ST009,1,14248.3,0.02,11637.82
S000130,2026-01-05,C0563,P068,ST005,3,12674.51,0.0,8703.69
S000131,2026-07-15,C0707,P073,ST009,3,1804.43,0.02,1242.22
S000132,2025-07-09,C0302,P037,ST005,8,11548.04,0.0,8737.72
S000133,2026-10-08,C0400,P068,ST023,7,10224.81,0.0,8703.69
S000134,2026-05-13,C0646,P053,ST008,2,4260.71,0.05,3373.97
S000135,2025-09-24,C0554,P007,ST008,2,7738.86,0.05,5642.26
S000136,2025-01-27,C0873,P083,ST010,1,8835.06,0.02,7077.47
S000137,2025-01-22,C0184,P044,ST010,7,6723.9,0.02,4727.0
S000138,2026-11-06,C0973,P037,ST016,1,14120.65,0.02,8737.72
S000139,2026-09-22,C0471,P083,ST013,7,9690.5,0.0,7077.47
S000140,2026-01-06,C0633,P008,ST014,5,8715.61,0.05,6932.71
S000141,2025-02-02,C0272,P036,ST017,6,1796.35,0.0,1308.06
S000142,2025-01-04,C0074,P045,ST020,4,4517.04,0.0,3792.77
S000143,2026-07-17,C0519,P028,ST017,6,12909.46,0.05,8027.52
S000144,2026-12-30,C0986,P086,ST010,7,678.23,0.05,517.95
S000145,2025-09-13,C0128,P062,ST004,4,3044.04,0.0,2627.77
S000146,2025-12-25,C0964,P046,ST024,3,9498.78,0.0,7655.82
S000147,2025-11-22,C0703,P076,ST012,5,8284.98,0.0,6054.39
S000148,2026-07-08,C0025,P029,ST011,4,10582.65,0.05,6795.13
S000149,2025-02-28,C0767,P054,ST011,4,16752.74,0.02,11637.82
S000150,2025-11-15,C0683,P078,ST006,5,3156.61,0.02,1948.16
S000151,2025-01-22,C0210,P022,ST001,6,7172.74,0.05,5050.21
S000152,2026-01-01,C0719,P041,ST009,3,3023.71,0.05,2039.67
S000153,2026-12-17,C0330,P037,ST011,7,11857.03,0.05,8737.72
S000154,2025-05-11,C0916,P017,ST020,5,8864.74,0.05,6820.68
S000155,2026-03-20,C0191,P030,ST019,6,11228.53,0.0,9460.8
S000156,2026-08-27,C0116,P074,ST021,2,8163.08,0.02,5135.74
S000157,2026-04-18,C0699,P039,ST007,3,2789.99,0.0,2144.94
S000158,2025-10-16,C0654,P039,ST003,2,3298.3,0.0,2144.94
S000159,2025-09-28,C0074,P073,ST019,3,1482.43,0.1,1242.22
S000160,2025-04-02,C0461,P062,ST013,6,3052.5,0.0,2627.77
S000161,2026-08-13,C0110,P080,ST013,3,11001.22,0.05,7154.82
S000162,2025-07-18,C0106,P054,ST023,3,14767.6,0.02,11637.82
S000163,2026-11-02,C0327,P040,ST016,5,9193.27,0.05,6137.28
S000164,2025-06-28,C0501,P027,ST018,5,4665.18,0.05,3699.73
S000165,2025-08-23,C0893,P033,ST010,5,14215.85,0.05,9814.74
S000166,2025-04-20,C0374,P064,ST009,7,11096.91,0.0,7055.83
S000167,2025-03-20,C0852,P036,ST018,6,1651.44,0.0,1308.06
S000168,2026-12-31,C0441,P048,ST012,3,1914.71,0.02,1279.89
S000169,2025-02-11,C0968,P046,ST006,5,11837.41,0.02,7655.82
S000170,2026-10-11,C0300,P081,ST016,2,3582.78,0.05,2254.47
S000171,2026-12-24,C0327,P080,ST015,5,10669.59,0.0,7154.82
S000172,2025-03-30,C0116,P020,ST020,4,7231.01,0.1,5381.43
S000173,2026-09-29,C0081,P074,ST009,3,7621.24,0.1,5135.74
S000174,2026-07-01,C0399,P090,ST003,4,1503.74,0.0,1222.08
S000175,2026-02-22,C0685,P043,ST022,2,6909.67,0.02,5492.34
S000176,2025-09-07,C0719,P033,ST009,3,15005.35,0.05,9814.74
S000177,2026-04-29,C0263,P023,ST020,4,12609.12,0.02,10277.49
S000178,2026-04-06,C0743,P089,ST022,6,11751.58,0.1,9447.14
S000179,2025-10-06,C0235,P054,ST002,6,16476.27,0.05,11637.82
S000180,2026-12-20,C0604,P043,ST002,7,8116.56,0.05,5492.34
S000181,2026-02-28,C0336,P067,ST006,5,15029.6,0.0,9162.6
S000182,2025-06-23,C0246,P039,ST024,7,2727.28,0.02,2144.94
S000183,2026-05-06,C0227,P015,ST018,6,10738.54,0.0,7707.94
S000184,2025-04-27,C0239,P031,ST006,1,10756.14,0.0,8055.68
S000185,2026-03-01,C0623,P056,ST001,5,10281.52,0.0,8673.46
S000186,2026-04-03,C0889,P083,ST018,5,9596.96,0.02,7077.47
