Month,Region,Target_Sales,Target_Profit
2025-01-01,Nairobi,4292113.0,1106684.0
2025-01-01,Central,2872942.0,742884.0
2025-01-01,Western,2479676.0,631844.0
2025-01-01,Coast,2779559.0,797831.0
2025-01-01,Rift Valley,3291783.0,749177.0
2025-01-01,Eastern,2871913.0,659895.0
2025-02-01,Nairobi,4765764.0,1373179.0
2025-02-01,Central,3180162.0,844768.0
2025-02-01,Western,2761503.0,641428.0
2025-02-01,Coast,3070707.0,888749.0
2025-02-01,Rift Valley,3447246.0,818441.0
2025-02-01,Eastern,3172137.0,901949.0
2025-03-01,Nairobi,4929311.0,1214612.0
2025-03-01,Central,3220671.0,798754.0
2025-03-01,Western,2946847.0,807361.0
2025-03-01,Coast,3133943.0,698934.0
2025-03-01,Rift Valley,3624073.0,996074.0
2025-03-01,Eastern,3135466.0,747199.0
2025-04-01,Nairobi,5109814.0,1323936.0
2025-04-01,Central,3314549.0,797684.0
2025-04-01,Western,2743507.0,769699.0
2025-04-01,Coast,2981930.0,765956.0
2025-04-01,Rift Valley,3774574.0,956442.0
2025-04-01,Eastern,3403456.0,749953.0
2025-05-01,Nairobi,4822504.0,1297325.0
2025-05-01,Central,3112539.0,885410.0
2025-05-01,Western,2790952.0,730282.0
2025-05-01,Coast,2893241.0,745745.0
2025-05-01,Rift Valley,3586022.0,873215.0
2025-05-01,Eastern,3402550.0,919547.0
2025-06-01,Nairobi,4794006.0,1386484.0
2025-06-01,Central,3048814.0,683736.0
2025-06-01,Western,2803318.0,621257.0
2025-06-01,Coast,3022084.0,771924.0
2025-06-01,Rift Valley,3472510.0,919602.0
2025-06-01,Eastern,3148147.0,734320.0
2025-07-01,Nairobi,4637657.0,1114180.0
2025-07-01,Central,2923504.0,785535.0
2025-07-01,Western,2579091.0,629441.0
2025-07-01,Coast,2816815.0,749738.0
2025-07-01,Rift Valley,3272295.0,924985.0
2025-07-01,Eastern,2961710.0,692079.0
2025-08-01,Nairobi,4116579.0,1164743.0
2025-08-01,Central,2725619.0,734845.0
2025-08-01,Western,2351541.0,661992.0
2025-08-01,Coast,2769168.0,661029.0
2025-08-01,Rift Valley,3088571.0,687963.0
2025-08-01,Eastern,2980546.0,789529.0
2025-09-01,Nairobi,4296298.0,1089654.0
2025-09-01,Central,2822982.0,808506.0
2025-09-01,Western,2315729.0,523998.0
2025-09-01,Coast,2501443.0,646273.0
2025-09-01,Rift Valley,3166249.0,912821.0
2025-09-01,Eastern,2818214.0,637266.0
2025-10-01,Nairobi,4220331.0,1178091.0
2025-10-01,Central,2623098.0,740927.0
2025-10-01,Western,2276159.0,584322.0
2025-10-01,Coast,2587795.0,586665.0
2025-10-01,Rift Valley,3123455.0,800364.0
2025-10-01,Eastern,2702597.0,711629.0
2025-11-01,Nairobi,4582249.0,1048920.0
2025-11-01,Central,3087021.0,711911.0
2025-11-01,Western,2750791.0,720741.0
2025-11-01,Coast,2868483.0,780639.0
2025-11-01,Rift Valley,3741600.0,848463.0
2025-11-01,Eastern,3084369.0,758299.0
2025-12-01,Nairobi,5027737.0,1136169.0
2025-12-01,Central,3249609.0,940303.0
2025-12-01,Western,2865780.0,665232.0
2025-12-01,Coast,3114375.0,762872.0
2025-12-01,Rift Valley,3885747.0,1113424.0
2025-12-01,Eastern,3212640.0,913421.0
2026-01-01,Nairobi,4624110.0,1067677.0
2026-01-01,Central,3097858.0,720080.0
2026-01-01,Western,2472522.0,678595.0
2026-01-01,Coast,2756919.0,784386.0
2026-01-01,Rift Valley,3380582.0,888184.0
2026-01-01,Eastern,3073748.0,857908.0
2026-02-01,Nairobi,4572586.0,1071303.0
2026-02-01,Central,3272169.0,786753.0
2026-02-01,Western,2767470.0,622577.0
2026-02-01,Coast,2989323.0,696616.0
2026-02-01,Rift Valley,3676320.0,999732.0
2026-02-01,Eastern,3177725.0,732577.0
2026-03-01,Nairobi,4774907.0,1064580.0
2026-03-01,Central,3199510.0,789149.0
2026-03-01,Western,2815345.0,815812.0
2026-03-01,Coast,3111034.0,769996.0
2026-03-01,Rift Valley,3822157.0,938927.0
2026-03-01,Eastern,3214965.0,721627.0
2026-04-01,Nairobi,5066425.0,1186369.0
2026-04-01,Central,3212595.0,784644.0
2026-04-01,Western,2952073.0,827303.0
2026-04-01,Coast,3095682.0,881623.0
2026-04-01,Rift Valley,3712777.0,974013.0
2026-04-01,Eastern,3441650.0,882753.0
2026-05-01,Nairobi,4870626.0,1081415.0
2026-05-01,Central,3383854.0,789214.0
2026-05-01,Western,2813026.0,775224.0
2026-05-01,Coast,3046338.0,836734.0
2026-05-01,Rift Valley,3818851.0,1068784.0
2026-05-01,Eastern,3122757.0,732159.0
2026-06-01,Nairobi,4918477.0,1172533.0
2026-06-01,Central,3215097.0,826388.0
2026-06-01,Western,2849296.0,677787.0
2026-06-01,Coast,3030037.0,753496.0
2026-06-01,Rift Valley,3477329.0,884495.0
2026-06-01,Eastern,3162891.0,720239.0
2026-07-01,Nairobi,4361490.0,1237123.0
2026-07-01,Central,3049712.0,821255.0
2026-07-01,Western,2562031.0,660450.0
2026-07-01,Coast,2670789.0,614356.0
2026-07-01,Rift Valley,3561678.0,835819.0
2026-07-01,Eastern,2997267.0,854605.0
2026-08-01,Nairobi,4340551.0,1005407.0
2026-08-01,Central,2835546.0,715659.0
2026-08-01,Western,2463965.0,687197.0
2026-08-01,Coast,2674814.0,731844.0
2026-08-01,Rift Valley,3186464.0,856241.0
2026-08-01,Eastern,2829545.0,774500.0
2026-09-01,Nairobi,4207063.0,1025789.0
2026-09-01,Central,2700854.0,749775.0
2026-09-01,Western,2398002.0,630938.0
2026-09-01,Coast,2674788.0,630270.0
2026-09-01,Rift Valley,3112373.0,727363.0
2026-09-01,Eastern,2668836.0,700921.0
2026-10-01,Nairobi,3894141.0,897347.0
2026-10-01,Central,2630735.0,672324.0
2026-10-01,Western,2447428.0,655090.0
2026-10-01,Coast,2558628.0,629138.0
2026-10-01,Rift Valley,2934335.0,808966.0
2026-10-01,Eastern,2575502.0,699840.0
2026-11-01,Nairobi,4719787.0,1195716.0
2026-11-01,Central,3196596.0,758214.0
2026-11-01,Western,2811315.0,673413.0
2026-11-01,Coast,2872083.0,704234.0
2026-11-01,Rift Valley,3736632.0,930940.0
2026-11-01,Eastern,3338050.0,743060.0
2026-12-01,Nairobi,4711578.0,1332151.0
2026-12-01,Central,3198388.0,752109.0
2026-12-01,Western,2940613.0,684143.0
2026-12-01,Coast,3115204.0,695098.0
2026-12-01,Rift Valley,3880586.0,1008779.0
2026-12-01,Eastern,3283177.0,805733.0
